"Month","Region","Category","Channel","Product","Units","Revenue","Cost","Profit","Margin","Satisfaction"
"2025-01-01","East","Electronics","Online","Pulse","238","51764","30516","21248","41","3.7"
"2025-01-01","South","Apparel","Retail","Pulse","149","9566","5058","4508","47.1","4.8"
"2025-01-01","West","Home","Online","Ember","97","12559","8235","4324","34.4","4.7"
"2025-01-01","South","Sports","Partner","Pulse","101","10548","6487","4061","38.5","4.3"
"2025-02-01","North","Electronics","Partner","Pulse","179","48751","28976","19775","40.6","4.1"
"2025-02-01","North","Apparel","Partner","Drift","206","14618","8548","6070","41.5","3.4"
"2025-02-01","South","Home","Retail","Drift","123","17138","9631","7507","43.8","4.5"
"2025-02-01","North","Sports","Partner","Nimbus","114","12512","6729","5783","46.2","3.6"
"2025-03-01","North","Electronics","Online","Ember","244","67475","41566","25909","38.4","3.9"
"2025-03-01","East","Apparel","Online","Aura","171","11970","7029","4941","41.3","4.6"
"2025-03-01","North","Home","Online","Aura","176","21815","14152","7663","35.1","3.7"
"2025-03-01","South","Sports","Partner","Vertex","129","12248","8191","4057","33.1","3.5"
"2025-04-01","North","Electronics","Retail","Aura","335","80890","45805","35085","43.4","4.8"
"2025-04-01","West","Apparel","Partner","Pulse","197","14616","9322","5294","36.2","4.5"
"2025-04-01","East","Home","Retail","Ember","111","15353","10232","5121","33.4","4.9"
"2025-04-01","East","Sports","Partner","Drift","98","9235","6246","2989","32.4","4.6"
"2025-05-01","South","Electronics","Partner","Pulse","236","62369","34844","27525","44.1","4.3"
"2025-05-01","East","Apparel","Online","Pulse","122","7449","4899","2550","34.2","4.1"
"2025-05-01","South","Home","Partner","Nimbus","128","14139","8526","5613","39.7","4.8"
"2025-05-01","South","Sports","Online","Pulse","93","7989","4313","3676","46","4.1"
"2025-06-01","East","Electronics","Partner","Pulse","139","33149","18069","15080","45.5","4.1"
"2025-06-01","North","Apparel","Partner","Vertex","95","6474","3495","2979","46","4.9"
"2025-06-01","South","Home","Retail","Nimbus","114","12537","7478","5059","40.4","3.7"
"2025-06-01","West","Sports","Retail","Drift","66","6505","4252","2253","34.6","4.9"
"2025-07-01","South","Electronics","Online","Nimbus","182","40854","21969","18885","46.2","4.9"
"2025-07-01","South","Apparel","Online","Vertex","126","9101","4763","4338","47.7","4"
"2025-07-01","West","Home","Partner","Pulse","86","10511","7029","3482","33.1","3.6"
"2025-07-01","West","Sports","Retail","Drift","86","8936","5005","3931","44","4.5"
"2025-08-01","North","Electronics","Partner","Drift","172","41135","24476","16659","40.5","4.4"
"2025-08-01","West","Apparel","Online","Aura","81","4759","2502","2257","47.4","4.8"
"2025-08-01","South","Home","Partner","Ember","63","7840","5041","2799","35.7","3.5"
"2025-08-01","East","Sports","Online","Pulse","39","4341","2823","1518","35","4.2"
"2025-09-01","East","Electronics","Online","Drift","127","35297","19682","15615","44.2","3.7"
"2025-09-01","South","Apparel","Retail","Ember","75","5195","3362","1833","35.3","4.9"
"2025-09-01","East","Home","Online","Vertex","60","8412","4741","3671","43.6","4.5"
"2025-09-01","East","Sports","Partner","Pulse","41","4069","2511","1558","38.3","4.2"
"2025-10-01","South","Electronics","Online","Drift","131","34465","18494","15971","46.3","3.9"
"2025-10-01","North","Apparel","Partner","Ember","67","4965","3106","1859","37.4","5"
"2025-10-01","South","Home","Partner","Ember","88","12589","6783","5806","46.1","3.5"
"2025-10-01","North","Sports","Retail","Drift","37","3735","2448","1287","34.5","4.9"
"2025-11-01","South","Electronics","Online","Vertex","151","39441","24904","14537","36.9","4.7"
"2025-11-01","North","Apparel","Online","Ember","132","9501","5901","3600","37.9","4.3"
"2025-11-01","North","Home","Online","Vertex","60","7804","4907","2897","37.1","3.6"
"2025-11-01","West","Sports","Retail","Vertex","66","6564","3894","2670","40.7","3.8"
"2025-12-01","East","Electronics","Online","Aura","148","34717","20081","14636","42.2","4.5"
"2025-12-01","East","Apparel","Retail","Drift","98","7574","4144","3430","45.3","3.8"
"2025-12-01","West","Home","Online","Nimbus","85","10667","6368","4299","40.3","5"
"2025-12-01","North","Sports","Retail","Ember","103","9294","6067","3227","34.7","4"
